
24:21:97:45:e3:a7,192.168.0.31,192.168.0.255,unix,computer-01u
24:21:97:45:e6:c8,192.168.0.32,192.168.0.255,unix,computer-02u
24:21:97:45:E0:59,192.168.0.33,192.168.0.255,unix,computer-03u
24:21:97:45:E6:EF,192.168.0.34,192.168.0.255,unix,computer-04u
# a comment
24:21:97:45:E3:C6,192.168.0.35,192.168.0.255,unix,computer-05u
24:21:97:42:F5:3D,192.168.0.36,192.168.0.255,unix,computer-06u
24:21:97:45:E5:B0,192.168.0.37,192.168.0.255,unix,computer-07u
24:21:97:45:E0:4C,192.168.0.38,192.168.0.255,win,computer-08u
24:21:97:45:E0:64,192.168.0.39,192.168.0.255,win,computer-09u
24:21:97:49:E4:70,192.168.0.40,192.168.0.255,win,computer-10u
24:1E:C9:3D:C4:BA,192.168.0.41,192.168.0.255,win,box-01u
24:1E:C9:3D:B8:08,192.168.0.42,192.168.0.255,unix,box-02u
